sample_id,group,replicate,gene_x_expression,qc_score
S001,control,1,6.786,0.9075
S002,low_dose,1,6.748,0.9141
S003,high_dose,1,8.853,0.8909
S004,control,2,3.894,0.9008
S005,low_dose,2,7.304,0.9661
S006,high_dose,2,8.644,0.8718
S007,control,3,4.344,0.9359
S008,low_dose,3,5.515,0.9019
S009,high_dose,3,8.174,0.9566
S010,control,4,5.827,0.9371
S011,low_dose,4,5.736,0.8579
S012,high_dose,4,8.864,0.8573
S013,control,5,5.648,0.9818
S014,low_dose,5,5.834,0.987
S015,high_dose,5,11.261,0.9351
S016,control,6,3.401,0.9824
S017,low_dose,6,7.798,0.9831
S018,high_dose,6,8.977,0.9294
S019,control,7,1.898,0.9142
S020,low_dose,7,5.491,0.9839
S021,high_dose,7,8.007,0.8825
S022,control,8,4.652,0.8887
S023,low_dose,8,7.379,0.914
S024,high_dose,8,9.69,0.9835
S025,control,9,2.828,0.9716
S026,low_dose,9,7.171,0.9405
S027,high_dose,9,8.894,0.98
S028,control,10,6.545,0.9128
S029,low_dose,10,6.621,0.9223
S030,high_dose,10,9.537,0.9811
S031,control,11,5.51,0.8744
S032,low_dose,11,7.113,0.9314
S033,high_dose,11,8.867,0.9133
S034,control,12,3.132,0.8745
S035,low_dose,12,6.467,0.9211
S036,high_dose,12,6.912,0.9214
S037,control,13,2.873,0.9433
S038,low_dose,13,6.32,0.8868
S039,high_dose,13,9.097,0.9679
S040,control,14,4.008,0.9519
S041,low_dose,14,6.758,0.8875
S042,high_dose,14,9.414,0.953
S043,control,15,5.144,0.8884
S044,low_dose,15,8.213,0.8766
S045,high_dose,15,10.254,0.9458
S046,control,16,5.16,0.9861
S047,low_dose,16,7.687,0.9042
S048,high_dose,16,8.945,0.8501
S049,control,17,2.816,0.8666
S050,low_dose,17,6.78,0.9527
